Variable,IMF,Mean,Std,Variance,Energy,Energy_Ratio,RMS,Max_Amplitude,Zero_Crossings,Zero_Crossing_Rate,Dominant_Period_Hours,Persistence,Mean_Change_Rate,Interpretation
obs_wind_speed_10m,1,-0.0017581152647850316,0.36926504387039916,0.13635667262460782,7133.933751941653,0.370024787390437,0.36926922914574417,4.6660078155617,30607,0.5850297226522928,0.8546574313065639,-0.15974060545789967,0.3961649006964734,High-freq noise/measurement errors
obs_wind_speed_10m,2,-0.000482358392442694,0.4142434364255821,0.17159762462167527,8977.485099908628,0.4656466026882268,0.41424371726230685,3.9616058990044194,11417,0.21822734484010933,2.291188578435666,0.8277348943208461,0.1733693344085668,High-freq noise/measurement errors
obs_wind_speed_10m,3,0.004448200456174633,0.6486410412926514,0.4207352004492152,22012.638651557576,1.141757439887665,0.6486562933761711,4.726822760310425,4231,0.08087237418047671,6.182580950129993,0.9754256787681064,0.10706539388944572,Daily cycles and sub-daily patterns
obs_wind_speed_10m,4,-0.018387861314425092,1.0783865371859807,1.1629175235839706,60858.04516237761,3.1566013934566413,1.0785432939978299,5.439718144137811,1593,0.030448993634956133,16.42090395480226,0.996683534253191,0.06814779399695893,Daily cycles and sub-daily patterns
obs_wind_speed_10m,5,-0.009800789528580106,1.1101888997567806,1.2325193931431708,64486.74242537691,3.3448156354069725,1.110232159783959,4.9578913434473515,652,0.012462488292524419,40.12039877300614,0.9993577383192139,0.031519978724454105,Weekly and multi-day patterns
obs_wind_speed_10m,6,-0.012455575388691999,1.0207938827073102,1.0420201509726656,54523.484768877206,2.828038717614731,1.020869870419795,3.9693547574327677,252,0.004816789953552382,103.80357142857143,0.9998848159340459,0.01196703916749837,Weekly and multi-day patterns
obs_wind_speed_10m,7,0.0013676119903212537,0.7714861454641943,0.5951908726431998,31138.69873583213,1.6151103696758005,0.7714873576448003,3.170877180534888,112,0.00214079553491217,233.55803571428572,0.9999769304234545,0.003823974634629022,Monthly and seasonal patterns
obs_wind_speed_10m,8,0.0007792814474811623,0.516994548781995,0.26728336347029863,13983.495497721105,0.7252996913674877,0.5169951360988544,1.4560364898290892,51,0.0009748265382189346,512.9117647058823,0.9999955594605194,0.0011842472160601566,Monthly and seasonal patterns
obs_wind_speed_10m,9,0.012072547271394368,0.3953548493618676,0.15630545691394504,8185.057603651151,0.424544760980599,0.3955391299373111,1.0546855040393026,22,0.00042051340864346197,1189.0227272727273,0.9999994644855054,0.0003455010603271285,Monthly and seasonal patterns
obs_wind_speed_10m,10,0.0022861860540415333,0.21589088270698223,0.04660887323599996,2438.709863561837,0.12649165665798726,0.21590298720183018,0.49689983399792487,7,0.00013379972093201063,3736.9285714285716,0.9999999095473795,7.324604114467256e-05,Long-term trends and climate patterns
obs_wind_speed_10m,11,-0.009784155485022001,0.14651439167252675,0.02146646696717058,1128.0694429607695,0.058511008134831545,0.1468407186911235,0.3435152104038815,5,9.557122923715044e-05,5231.7,0.9999999786360797,2.4870092215283004e-05,Long-term trends and climate patterns
obs_wind_speed_10m,12,5.620196812103644,0.10509977304620897,0.011045962294364635,1653094.6824314615,85.74315793673863,5.621179428649678,5.760168176680169,0,0.0,inf,0.999999993221229,1.1484299061448063e-05,Long-term trends and climate patterns
obs_wind_speed_70m,1,-0.0002286319914866762,0.44147703675513833,0.19490197398209777,10196.68930756637,0.9646303057074738,0.4414770959570669,3.5792308480253023,30801,0.5887378863466942,0.8492743742086296,-0.20872278242815268,0.4953462816230173,High-freq noise/measurement errors
obs_wind_speed_70m,2,0.0012286429063706821,0.519126484659978,0.2694923070754264,14099.10800509303,1.3338081072121608,0.5191279386035949,7.36838376467664,11176,0.21362081159087867,2.3405959198282034,0.8300471081854512,0.21782257332430027,High-freq noise/measurement errors
obs_wind_speed_70m,3,0.00715200311862883,0.7979401411701994,0.6367084688907177,33313.35304159745,3.151519964897978,0.7979721925226008,5.881675866090756,4171,0.07972551942963091,6.27151762167346,0.975700848511702,0.1328718968064924,Daily cycles and sub-daily patterns
obs_wind_speed_70m,4,-0.009773328016941595,1.2155381542064057,1.4775330043315158,77305.09139970645,7.313239787968076,1.2155774439631737,7.319627531679686,1589,0.030372536651566414,16.462240402769037,0.9965124873737284,0.0794942168472956,Daily cycles and sub-daily patterns
obs_wind_speed_70m,5,-0.002759344646374931,1.3888500747569463,1.9289045301523755,100914.89664472402,9.546781770491307,1.3888528158646807,6.102445509180742,644,0.012309574325744978,40.618788819875775,0.9993838029298334,0.038827708927853005,Weekly and multi-day patterns
obs_wind_speed_70m,6,0.00477930642644009,1.1861659980128663,1.4069897748418592,73610.67906327834,6.9637398675523725,1.186175626377383,3.822157101008027,252,0.004816789953552382,103.80357142857143,0.9998919901384891,0.013723811983637563,Weekly and multi-day patterns
obs_wind_speed_70m,7,0.008000279645250087,0.8103804456734787,0.6567164667299459,34360.783911997874,3.250609338933534,0.8104199350980626,2.882438916319291,108,0.00206433855152245,242.20833333333334,0.9999798204925703,0.004006963241528981,Monthly and seasonal patterns
obs_wind_speed_70m,8,-0.009998093874597125,0.534718154411804,0.2859235046575659,14963.889698904703,1.4156184482463605,0.5348116178045229,1.8325132035590501,49,0.0009365980465240744,533.8469387755102,0.9999962527680599,0.0011184776558210568,Monthly and seasonal patterns
obs_wind_speed_70m,9,0.02715540785141229,0.3725902118315591,0.1388234659526861,7301.406670304317,0.6907298963442893,0.37357848188601905,1.07021259762727,20,0.0003822849169486018,1307.925,0.9999994548463988,0.0003060880602105454,Monthly and seasonal patterns
obs_wind_speed_70m,10,-0.007163543729750112,0.23540701649449283,0.05541646341483842,2901.9078344157692,0.27452716828100493,0.235515986237891,0.5194373827633073,8,0.00015291396677944073,3269.8125,0.9999999157195135,7.886932449257526e-05,Long-term trends and climate patterns
obs_wind_speed_70m,11,3.621707226602607,0.18851291412092264,0.03553711879036235,688088.8976210502,65.09479534436545,3.626610036110294,3.9180808267423295,0,0.0,inf,0.9999999881062852,2.3430043801640894e-05,Long-term trends and climate patterns
power,1,0.004933985767195702,4.105982704315479,16.859093968137852,882018.4927473932,0.42472162310848777,4.105985668795424,76.81601069727525,29843,0.5704264388248562,0.87653721140636,-0.017827032612216125,3.499375697325938,High-freq noise/measurement errors
power,2,-0.05571936704918166,5.892690886957948,34.72380588923725,1816807.7785695447,0.8748541611487245,5.892954313169381,64.5932887047046,11543,0.22063573981688553,2.2661786364030148,0.8462505311484891,1.924731587684989,High-freq noise/measurement errors
power,3,-0.1603597019184134,10.257662028817592,105.21963029744623,5506120.742168639,2.651382661332627,10.258915416916428,81.13151491598012,4047,0.07735535294454958,6.463676797627873,0.9785623280139732,1.3829828453794395,Daily cycles and sub-daily patterns
power,4,-0.580756739419997,16.321729858231052,266.398865565071,13954834.84331742,6.719723173153583,16.33205877883902,78.85881276152539,1603,0.030640136093430435,16.318465377417343,0.9964674721136675,1.0074849012585254,Daily cycles and sub-daily patterns
power,5,-0.38505881093258026,21.03123785269512,442.312965616636,23148244.4788164,11.14665967663641,21.03476255878618,89.10470020433921,643,0.012290460079897548,40.681959564541216,0.9993903190902854,0.5546282830829902,Weekly and multi-day patterns
power,6,-0.2884068626555662,18.6929348376327,349.4258128439822,18285261.901107155,8.804969711475447,18.69515957039172,60.00005787274693,258,0.004931475428636963,101.38953488372093,0.9998859774039289,0.21650937115812308,Weekly and multi-day patterns
power,7,0.031589020789076265,14.026732753605854,196.74923174107929,10293381.76236583,4.956610145179115,14.02676832371996,47.39648133668183,114,0.0021790240266070303,229.46052631578948,0.9999787244110884,0.07157447039071113,Monthly and seasonal patterns
power,8,-0.012259790161149097,9.49422031743279,90.14021943595357,4715873.72360431,2.270852095203772,9.49422823290068,37.7036899693377,49,0.0009365980465240744,533.8469387755102,0.9999951803643435,0.021553502115031074,Monthly and seasonal patterns
power,9,-0.13461422307459586,6.312946396290687,39.85329220243957,2085952.723939368,1.0044565209505558,6.314381457553349,17.957991766890576,18,0.0003440564252537416,1453.25,0.9999993209265313,0.005927735584539173,Monthly and seasonal patterns
power,10,0.4235449394801731,4.928708563539357,24.29216810430619,1280278.5218625641,0.6164972461548323,4.946873600574958,13.683663735280344,8,0.00015291396677944073,3269.8125,0.999999847803779,0.0018520337762343545,Long-term trends and climate patterns
power,11,-0.4565972579112864,2.1276060574359774,4.526707535638264,247730.86154518707,0.11929075691122677,2.176048848617689,4.388314311425088,5,9.557122923715044e-05,5231.7,0.999999967685291,0.0004639519155425753,Long-term trends and climate patterns
power,12,48.87002904646904,3.108879504814209,9.665131775453842,125453281.80450213,60.40998222874521,48.96881528869349,52.64086018343623,0,0.0,inf,0.999999996395719,0.00026927611476440527,Long-term trends and climate patterns
